T [fm^-1]		beta_pi
0.6208		0.0345842891809019
0.6216		0.0349351212544961
0.6224		0.0352897618628292
0.6232		0.0356482533966832
0.624		0.0360106386620342
0.6248		0.0363769608820763
0.6256		0.0367472636993811
0.6264		0.0371215911779091
0.6272		0.0374999878050547
0.628		0.0378824984936096
0.6288		0.0382691685836736
0.6296		0.0386600438445232
0.6304		0.0390551704764635
0.6312		0.0394545951125841
0.632		0.0398583648204589
0.6328		0.0402665271038658
0.6336		0.0406791299044099
0.6344		0.0410962216029873
0.6352		0.0415178510213372
0.636		0.0419440674235416
0.6368		0.0423749205172538
0.6376		0.042810460455144
0.6384		0.0432507378360731
0.6392		0.0436958037062554
0.64		0.0441457095604189
0.6408		0.044600507342754
0.6416		0.0450602494479797
0.6424		0.045524988722122
0.6432		0.0459947784633992
0.644		0.0464696724228435
0.6448		0.0469497248050998
0.6456		0.0474349902688342
0.6464		0.0479255239273185
0.6472		0.0484213813487575
0.648		0.0489226185566011
0.6488		0.0494292920297703
0.6496		0.049941458702744
0.6504		0.0504591759656127
0.6512		0.0509825016639859
0.652		0.0515114940988266
0.6528		0.0520462120261402
0.6536		0.0525867146565898
0.6544		0.0531330616551633
0.6552		0.053685313140318
0.656		0.0542435296835442
0.6568		0.0548077723083301
0.6576		0.0553781024894367
0.6584		0.0559545821516951
0.6592		0.0565372736689935
0.66		0.0571262398628576
0.6608		0.0577215440012746
0.6616		0.0583232497968512
0.6624		0.0589314214055024
0.6632		0.059546123424507
0.664		0.0601674208906389
0.6648		0.06079537927818
0.6656		0.061430064496721
0.6664		0.0620715428889382
0.6672		0.0627198812281556
0.668		0.0633751467155981
0.6688		0.0640374069780967
0.6696		0.064706730064792
0.6704		0.0653831844445258
0.6712		0.0660668390024928
0.672		0.0667577630371392
0.6728		0.0674560262564227
0.6736		0.0681616987747971
0.6744		0.0688748511090037
0.6752		0.0695955541744432
0.676		0.0703238792811232
0.6768		0.0710598981294326
0.6776		0.071803682805994
0.6784		0.0725553057789872
0.6792		0.0733148398936214
0.68		0.07408235836731
0.6808		0.0748579347847681
0.6816		0.0756416430928822
0.6824		0.0764335575953975
0.6832		0.0772337529475805
0.684		0.0780423041505256
0.6848		0.0788592865454719
0.6856		0.079684775807956
0.6864		0.0805188479414324
0.6872		0.0813615792714935
0.688		0.082213046439013
0.6888		0.0830733263939037
0.6896		0.0839424963881756
0.6904		0.0848206339691289
0.6912		0.0857078169722531
0.692		0.0866041235141441
0.6928		0.0875096319846957
0.6936		0.0884244210401109
0.6944		0.0893485695946253
0.6952		0.0902821568132291
0.696		0.0912252621028868
0.6968		0.0921779651049792
0.6976		0.0931403456865004
0.6984		0.0941124839318064
0.6992		0.0950944601337717
0.7		0.0960863547850602
0.7008		0.0970882485687869
0.7016		0.0981002223498926
0.7024		0.0991223571654405
0.7032		0.100154734215075
0.704		0.101197434851833
0.7048		0.10225054057202
0.7056		0.103314133005481
0.7064		0.104388293905182
0.7072		0.105473105137544
0.708		0.106568648671813
0.7088		0.107675006569542
0.7096		0.108792260973925
0.7104		0.109920494099415
0.7112		0.111059788220401
0.712		0.112210225660395
0.7128		0.113371888781019
0.7136		0.114544859970373
0.7144		0.115729221632223
0.7152		0.11692505617403
0.716		0.118132445995557
0.7168		0.11935147347717
0.7176		0.12058222096796
0.7184		0.121824770773919
0.7192		0.123079205145897
0.72		0.124345606267408
0.7208		0.125624056242753
0.7216		0.126914637084426
0.7224		0.128217430700845
0.7232		0.129532518884098
0.724		0.130859983297118
0.7248		0.132199905461812
0.7256		0.133552366745519
0.7264		0.13491744834896
0.7272		0.136295231293638
0.728		0.137685796408384
0.7288		0.139089224317331
0.7296		0.14050559542659
0.7304		0.141934989911704
0.7312		0.143377487704249
0.732		0.144833168479752
0.7328		0.14630211164399
0.7336		0.147784396320402
0.7344		0.149280101337281
0.7352		0.150789305214726
0.736		0.152312086151861
0.7368		0.153848522013428
0.7376		0.155398690317886
0.7384		0.15696266822385
0.7392		0.158540532517369
0.74		0.160132359599497
0.7408		0.161738225473354
0.7416		0.163358205731588
0.7424		0.164992375543705
0.7432		0.166640809643819
0.744		0.168303582317758
0.7448		0.169980767391201
0.7456		0.171672438217026
0.7464		0.173378667663377
0.7472		0.175099528101725
0.748		0.176835091394456
0.7488		0.178585428883529
0.7496		0.180350611378362
0.7504		0.182130709144609
0.7512		0.183925791892251
0.752		0.185735928764661
0.7528		0.187561188327459
0.7536		0.189401638556926
0.7544		0.191257346830226
0.7552		0.193128379913424
0.756		0.195014803951925
0.7568		0.196916684459637
0.7576		0.198834086309195
0.7584		0.200767073721651
0.7592		0.202715710256914
0.76		0.204680058803952
0.7608		0.20666018157174
0.7616		0.20865614007993
0.7624		0.210667995150163
0.7632		0.212695806896714
0.764		0.21473963471886
0.7648		0.216799537292165
0.7656		0.218875572560638
0.7664		0.22096779772867
0.7672		0.223076269254164
0.768		0.225201042840546
0.7688		0.22734217343037
0.7696		0.229499715198335
0.7704		0.231673721544987
0.7712		0.23386424509009
0.772		0.236071337667316
0.7728		0.238295050318245
0.7736		0.240535433287279
0.7744		0.242792536016251
0.7752		0.245066407139824
0.776		0.247357094481137
0.7768		0.249664645047567
0.7776		0.251989105026657
0.7784		0.254330519782653
0.7792		0.256688933853616
0.78		0.259064390947733
0.7808		0.261456933940943
0.7816		0.263866604875186
0.7824		0.266293444955249
0.7832		0.268737494548011
0.784		0.271198793180552
0.7848		0.273677379539002
0.7856		0.276173291468139
0.7864		0.278686565970658
0.7872		0.281217239206469
0.788		0.283765346494447
0.7888		0.286330922311008
0.7896		0.288914000292207
0.7904		0.291514613234182
0.7912		0.294132793095193
0.792		0.296768570996278
0.7928		0.299421977225098
