tau [fm]		R_PiNS^-1
5.045		-0.194
5.05		-0.193119
5.055		-0.192244
5.06		-0.191375
5.065		-0.190512
5.07		-0.189654
5.075		-0.188803
5.08		-0.187958
5.085		-0.187119
5.09		-0.186285
5.095		-0.185457
5.1		-0.184635
5.105		-0.183818
5.11		-0.183007
5.115		-0.182202
5.12		-0.181402
5.125		-0.180607
5.13		-0.179818
5.135		-0.179034
5.14		-0.178256
5.145		-0.177483
5.15		-0.176715
5.155		-0.175952
5.16		-0.175195
5.165		-0.174443
5.17		-0.173696
5.175		-0.172953
5.18		-0.172216
5.185		-0.171484
5.19		-0.170757
5.195		-0.170035
5.2		-0.169317
5.205		-0.168605
5.21		-0.167897
5.215		-0.167194
5.22		-0.166496
5.225		-0.165802
5.23		-0.165113
5.235		-0.164429
5.24		-0.163749
5.245		-0.163074
5.25		-0.162403
5.255		-0.161736
5.26		-0.161075
5.265		-0.160417
5.27		-0.159764
5.275		-0.159115
5.28		-0.158471
5.285		-0.157831
5.29		-0.157195
5.295		-0.156563
5.3		-0.155935
5.305		-0.155312
5.31		-0.154692
5.315		-0.154077
5.32		-0.153466
5.325		-0.152859
5.33		-0.152255
5.335		-0.151656
5.34		-0.151061
5.345		-0.150469
5.35		-0.149882
5.355		-0.149298
5.36		-0.148718
5.365		-0.148142
5.37		-0.147569
5.375		-0.147001
5.38		-0.146436
5.385		-0.145874
5.39		-0.145316
5.395		-0.144762
5.4		-0.144212
5.405		-0.143665
5.41		-0.143121
5.415		-0.142581
5.42		-0.142045
5.425		-0.141512
5.43		-0.140982
5.435		-0.140456
5.44		-0.139933
5.445		-0.139413
5.45		-0.138897
5.455		-0.138384
5.46		-0.137875
5.465		-0.137368
5.47		-0.136865
5.475		-0.136365
5.48		-0.135868
5.485		-0.135375
5.49		-0.134884
5.495		-0.134397
5.5		-0.133912
5.505		-0.133431
5.51		-0.132953
5.515		-0.132477
5.52		-0.132005
5.525		-0.131536
5.53		-0.131069
5.535		-0.130606
5.54		-0.130145
5.545		-0.129688
5.55		-0.129233
5.555		-0.128781
5.56		-0.128332
5.565		-0.127885
5.57		-0.127442
5.575		-0.127001
5.58		-0.126562
5.585		-0.126127
5.59		-0.125694
5.595		-0.125264
5.6		-0.124837
5.605		-0.124412
5.61		-0.12399
5.615		-0.12357
5.62		-0.123153
5.625		-0.122739
5.63		-0.122327
5.635		-0.121918
5.64		-0.121511
5.645		-0.121106
5.65		-0.120704
5.655		-0.120305
5.66		-0.119908
5.665		-0.119513
5.67		-0.119121
5.675		-0.118731
5.68		-0.118343
5.685		-0.117958
5.69		-0.117575
5.695		-0.117195
5.7		-0.116816
5.705		-0.11644
5.71		-0.116066
5.715		-0.115695
5.72		-0.115326
5.725		-0.114959
5.73		-0.114594
5.735		-0.114231
5.74		-0.11387
5.745		-0.113512
5.75		-0.113156
5.755		-0.112801
5.76		-0.112449
5.765		-0.112099
5.77		-0.111751
5.775		-0.111405
5.78		-0.111062
5.785		-0.11072
5.79		-0.11038
5.795		-0.110042
5.8		-0.109706
5.805		-0.109372
5.81		-0.10904
5.815		-0.10871
5.82		-0.108382
5.825		-0.108056
5.83		-0.107732
5.835		-0.10741
5.84		-0.107089
5.845		-0.10677
5.85		-0.106454
5.855		-0.106139
5.86		-0.105825
5.865		-0.105514
5.87		-0.105204
5.875		-0.104897
5.88		-0.104591
5.885		-0.104286
5.89		-0.103984
5.895		-0.103683
5.9		-0.103384
5.905		-0.103087
5.91		-0.102791
5.915		-0.102497
5.92		-0.102205
5.925		-0.101914
5.93		-0.101625
5.935		-0.101337
5.94		-0.101052
5.945		-0.100767
5.95		-0.100485
5.955		-0.100204
5.96		-0.0999246
5.965		-0.0996467
5.97		-0.0993704
5.975		-0.0990957
5.98		-0.0988225
5.985		-0.0985509
5.99		-0.0982807
