tau [fm]		R_piNS^-1
69.95		0.0178577
70.05		0.0178322
70.15		0.0178067
70.25		0.0177813
70.35		0.017756
70.45		0.0177308
70.55		0.0177056
70.65		0.0176806
70.75		0.0176556
70.85		0.0176306
70.95		0.0176058
71.05		0.017581
71.15		0.0175562
71.25		0.0175316
71.35		0.017507
71.45		0.0174825
71.55		0.0174581
71.65		0.0174337
71.75		0.0174094
71.85		0.0173852
71.95		0.017361
72.05		0.0173369
72.15		0.0173129
72.25		0.017289
72.35		0.0172651
72.45		0.0172413
72.55		0.0172175
72.65		0.0171939
72.75		0.0171703
72.85		0.0171467
72.95		0.0171232
73.05		0.0170998
73.15		0.0170765
73.25		0.0170532
73.35		0.01703
73.45		0.0170069
73.55		0.0169838
73.65		0.0169608
73.75		0.0169378
73.85		0.0169149
73.95		0.0168921
74.05		0.0168693
74.15		0.0168466
74.25		0.016824
74.35		0.0168014
74.45		0.0167789
74.55		0.0167565
74.65		0.0167341
74.75		0.0167118
74.85		0.0166895
74.95		0.0166673
75.05		0.0166452
75.15		0.0166231
75.25		0.0166011
75.35		0.0165791
75.45		0.0165572
75.55		0.0165354
75.65		0.0165136
75.75		0.0164919
75.85		0.0164702
75.95		0.0164487
76.05		0.0164271
76.15		0.0164056
76.25		0.0163842
76.35		0.0163628
76.45		0.0163415
76.55		0.0163203
76.65		0.0162991
76.75		0.016278
76.85		0.0162569
76.95		0.0162359
77.05		0.0162149
77.15		0.016194
77.25		0.0161731
77.35		0.0161523
77.45		0.0161316
77.55		0.0161109
77.65		0.0160903
77.75		0.0160697
77.85		0.0160492
77.95		0.0160287
78.05		0.0160083
78.15		0.0159879
78.25		0.0159676
78.35		0.0159474
78.45		0.0159272
78.55		0.015907
78.65		0.0158869
78.75		0.0158669
78.85		0.0158469
78.95		0.015827
79.05		0.0158071
79.15		0.0157873
79.25		0.0157675
79.35		0.0157478
79.45		0.0157281
79.55		0.0157085
79.65		0.0156889
79.75		0.0156694
79.85		0.0156499
79.95		0.0156305
80.05		0.0156111
80.15		0.0155918
80.25		0.0155725
80.35		0.0155533
80.45		0.0155341
80.55		0.015515
80.65		0.0154959
80.75		0.0154769
80.85		0.0154579
80.95		0.0154389
81.05		0.0154201
81.15		0.0154012
81.25		0.0153824
81.35		0.0153637
81.45		0.015345
81.55		0.0153264
81.65		0.0153078
81.75		0.0152892
81.85		0.0152707
81.95		0.0152523
82.05		0.0152338
82.15		0.0152155
82.25		0.0151972
82.35		0.0151789
82.45		0.0151607
82.55		0.0151425
82.65		0.0151243
82.75		0.0151063
82.85		0.0150882
82.95		0.0150702
83.05		0.0150523
83.15		0.0150343
83.25		0.0150165
83.35		0.0149987
83.45		0.0149809
83.55		0.0149631
83.65		0.0149454
83.75		0.0149278
83.85		0.0149102
83.95		0.0148926
84.05		0.0148751
84.15		0.0148576
84.25		0.0148402
84.35		0.0148228
84.45		0.0148055
84.55		0.0147882
84.65		0.0147709
84.75		0.0147537
84.85		0.0147365
84.95		0.0147194
85.05		0.0147023
85.15		0.0146852
85.25		0.0146682
85.35		0.0146512
85.45		0.0146343
85.55		0.0146174
85.65		0.0146005
85.75		0.0145837
85.85		0.014567
85.95		0.0145502
86.05		0.0145335
86.15		0.0145169
86.25		0.0145003
86.35		0.0144837
86.45		0.0144672
86.55		0.0144507
86.65		0.0144342
86.75		0.0144178
86.85		0.0144014
86.95		0.0143851
87.05		0.0143688
87.15		0.0143525
87.25		0.0143363
87.35		0.0143201
87.45		0.014304
87.55		0.0142879
87.65		0.0142718
87.75		0.0142558
87.85		0.0142398
87.95		0.0142238
88.05		0.0142079
88.15		0.014192
88.25		0.0141762
88.35		0.0141604
88.45		0.0141446
88.55		0.0141289
88.65		0.0141132
88.75		0.0140975
88.85		0.0140819
88.95		0.0140663
89.05		0.0140507
89.15		0.0140352
89.25		0.0140197
89.35		0.0140043
89.45		0.0139889
89.55		0.0139735
89.65		0.0139581
89.75		0.0139428
89.85		0.0139276
89.95		0.0139123
90.05		0.0138971
90.15		0.013882
90.25		0.0138668
90.35		0.0138517
90.45		0.0138367
90.55		0.0138216
90.65		0.0138066
90.75		0.0137917
90.85		0.0137767
90.95		0.0137618
91.05		0.013747
91.15		0.0137321
91.25		0.0137174
91.35		0.0137026
91.45		0.0136879
91.55		0.0136732
91.65		0.0136585
91.75		0.0136439
91.85		0.0136293
91.95		0.0136147
92.05		0.0136002
92.15		0.0135857
92.25		0.0135712
92.35		0.0135568
92.45		0.0135424
92.55		0.013528
92.65		0.0135136
92.75		0.0134993
92.85		0.0134851
92.95		0.0134708
93.05		0.0134566
93.15		0.0134424
93.25		0.0134283
93.35		0.0134141
93.45		0.0134
93.55		0.013386
93.65		0.013372
93.75		0.013358
93.85		0.013344
93.95		0.01333
94.05		0.0133161
94.15		0.0133023
94.25		0.0132884
94.35		0.0132746
94.45		0.0132608
94.55		0.0132471
94.65		0.0132333
94.75		0.0132196
94.85		0.013206
94.95		0.0131923
95.05		0.0131787
95.15		0.0131651
95.25		0.0131516
95.35		0.013138
95.45		0.0131246
95.55		0.0131111
95.65		0.0130977
95.75		0.0130842
95.85		0.0130709
95.95		0.0130575
96.05		0.0130442
96.15		0.0130309
96.25		0.0130176
96.35		0.0130044
96.45		0.0129912
96.55		0.012978
96.65		0.0129648
96.75		0.0129517
96.85		0.0129386
96.95		0.0129255
97.05		0.0129125
97.15		0.0128995
97.25		0.0128865
97.35		0.0128735
97.45		0.0128606
97.55		0.0128477
97.65		0.0128348
97.75		0.012822
97.85		0.0128091
97.95		0.0127963
98.05		0.0127836
98.15		0.0127708
98.25		0.0127581
98.35		0.0127454
98.45		0.0127327
98.55		0.0127201
98.65		0.0127075
98.75		0.0126949
98.85		0.0126823
98.95		0.0126698
99.05		0.0126573
99.15		0.0126448
99.25		0.0126323
99.35		0.0126199
99.45		0.0126075
99.55		0.0125951
99.65		0.0125827
99.75		0.0125704
99.85		0.0125581
99.95		0.0125458
