tau [fm]		R_PiNS^-1
9.23		-0.0174818
9.24		-0.0175119
9.25		-0.017542
9.26		-0.0175721
9.27		-0.0176023
9.28		-0.0176324
9.29		-0.0176625
9.3		-0.0176926
9.31		-0.0177228
9.32		-0.0177529
9.33		-0.017783
9.34		-0.0178132
9.35		-0.0178433
9.36		-0.0178735
9.37		-0.0179036
9.38		-0.0179338
9.39		-0.017964
9.4		-0.0179941
9.41		-0.0180243
9.42		-0.0180545
9.43		-0.0180847
9.44		-0.0181149
9.45		-0.0181451
9.46		-0.0181753
9.47		-0.0182055
9.48		-0.0182357
9.49		-0.0182659
9.5		-0.0182961
9.51		-0.0183263
9.52		-0.0183565
9.53		-0.0183867
9.54		-0.018417
9.55		-0.0184472
9.56		-0.0184774
9.57		-0.0185077
9.58		-0.0185379
9.59		-0.0185681
9.6		-0.0185984
9.61		-0.0186286
9.62		-0.0186589
9.63		-0.0186891
9.64		-0.0187194
9.65		-0.0187497
9.66		-0.0187799
9.67		-0.0188102
9.68		-0.0188405
9.69		-0.0188707
9.7		-0.018901
9.71		-0.0189313
9.72		-0.0189616
9.73		-0.0189919
9.74		-0.0190221
9.75		-0.0190524
9.76		-0.0190827
9.77		-0.019113
9.78		-0.0191433
9.79		-0.0191736
9.8		-0.0192039
9.81		-0.0192342
9.82		-0.0192645
9.83		-0.0192948
9.84		-0.0193251
9.85		-0.0193554
9.86		-0.0193858
9.87		-0.0194161
9.88		-0.0194464
9.89		-0.0194767
9.9		-0.019507
9.91		-0.0195373
9.92		-0.0195677
9.93		-0.019598
9.94		-0.0196283
9.95		-0.0196587
9.96		-0.019689
9.97		-0.0197193
9.98		-0.0197497
9.99		-0.01978
10		-0.0198103
10.01		-0.0198407
10.02		-0.019871
10.03		-0.0199013
10.04		-0.0199317
10.05		-0.019962
10.06		-0.0199924
10.07		-0.0200227
10.08		-0.0200531
10.09		-0.0200834
10.1		-0.0201138
10.11		-0.0201441
10.12		-0.0201745
10.13		-0.0202048
10.14		-0.0202352
10.15		-0.0202655
10.16		-0.0202959
10.17		-0.0203262
10.18		-0.0203566
10.19		-0.0203869
10.2		-0.0204173
10.21		-0.0204477
10.22		-0.020478
10.23		-0.0205084
10.24		-0.0205387
10.25		-0.0205691
10.26		-0.0205995
10.27		-0.0206298
10.28		-0.0206602
10.29		-0.0206905
10.3		-0.0207209
10.31		-0.0207513
10.32		-0.0207816
10.33		-0.020812
10.34		-0.0208424
10.35		-0.0208727
10.36		-0.0209031
10.37		-0.0209334
10.38		-0.0209638
10.39		-0.0209942
10.4		-0.0210245
10.41		-0.0210549
10.42		-0.0210852
10.43		-0.0211156
10.44		-0.021146
10.45		-0.0211763
10.46		-0.0212067
10.47		-0.021237
10.48		-0.0212674
10.49		-0.0212978
10.5		-0.0213281
10.51		-0.0213585
10.52		-0.0213888
10.53		-0.0214192
10.54		-0.0214495
10.55		-0.0214799
10.56		-0.0215103
10.57		-0.0215406
10.58		-0.021571
10.59		-0.0216013
10.6		-0.0216317
10.61		-0.021662
10.62		-0.0216924
10.63		-0.0217227
10.64		-0.0217531
10.65		-0.0217834
10.66		-0.0218138
10.67		-0.0218441
10.68		-0.0218744
10.69		-0.0219048
10.7		-0.0219351
10.71		-0.0219655
10.72		-0.0219958
10.73		-0.0220261
10.74		-0.0220565
10.75		-0.0220868
10.76		-0.0221171
10.77		-0.0221475
10.78		-0.0221778
10.79		-0.0222081
10.8		-0.0222385
10.81		-0.0222688
10.82		-0.0222991
10.83		-0.0223294
10.84		-0.0223598
10.85		-0.0223901
10.86		-0.0224204
10.87		-0.0224507
10.88		-0.022481
10.89		-0.0225113
10.9		-0.0225417
10.91		-0.022572
10.92		-0.0226023
10.93		-0.0226326
10.94		-0.0226629
10.95		-0.0226932
10.96		-0.0227235
10.97		-0.0227538
10.98		-0.0227841
10.99		-0.0228144
11		-0.0228447
11.01		-0.0228749
11.02		-0.0229052
11.03		-0.0229355
11.04		-0.0229658
11.05		-0.0229961
11.06		-0.0230264
11.07		-0.0230566
11.08		-0.0230869
11.09		-0.0231172
11.1		-0.0231474
11.11		-0.0231777
11.12		-0.023208
11.13		-0.0232382
11.14		-0.0232685
11.15		-0.0232987
11.16		-0.023329
11.17		-0.0233592
11.18		-0.0233895
11.19		-0.0234197
11.2		-0.02345
11.21		-0.0234802
11.22		-0.0235105
11.23		-0.0235407
11.24		-0.0235709
11.25		-0.0236012
11.26		-0.0236314
11.27		-0.0236616
11.28		-0.0236918
11.29		-0.023722
11.3		-0.0237523
11.31		-0.0237825
11.32		-0.0238127
11.33		-0.0238429
11.34		-0.0238731
11.35		-0.0239033
11.36		-0.0239335
11.37		-0.0239637
11.38		-0.0239939
11.39		-0.0240241
11.4		-0.0240542
11.41		-0.0240844
11.42		-0.0241146
11.43		-0.0241448
11.44		-0.0241749
11.45		-0.0242051
11.46		-0.0242353
11.47		-0.0242654
11.48		-0.0242956
11.49		-0.0243257
11.5		-0.0243559
11.51		-0.024386
11.52		-0.0244162
11.53		-0.0244463
11.54		-0.0244765
11.55		-0.0245066
11.56		-0.0245367
11.57		-0.0245669
11.58		-0.024597
11.59		-0.0246271
11.6		-0.0246572
11.61		-0.0246873
11.62		-0.0247174
11.63		-0.0247475
11.64		-0.0247776
11.65		-0.0248077
11.66		-0.0248378
11.67		-0.0248679
11.68		-0.024898
11.69		-0.0249281
11.7		-0.0249582
11.71		-0.0249882
11.72		-0.0250183
11.73		-0.0250484
11.74		-0.0250784
11.75		-0.0251085
11.76		-0.0251386
11.77		-0.0251686
11.78		-0.0251987
11.79		-0.0252287
11.8		-0.0252587
11.81		-0.0252888
11.82		-0.0253188
11.83		-0.0253488
11.84		-0.0253788
11.85		-0.0254089
11.86		-0.0254389
11.87		-0.0254689
11.88		-0.0254989
11.89		-0.0255289
11.9		-0.0255589
11.91		-0.0255889
11.92		-0.0256189
11.93		-0.0256489
11.94		-0.0256788
11.95		-0.0257088
11.96		-0.0257388
11.97		-0.0257688
11.98		-0.0257987
11.99		-0.0258287
12		-0.0258586
12.01		-0.0258886
12.02		-0.0259185
12.03		-0.0259485
12.04		-0.0259784
12.05		-0.0260083
12.06		-0.0260383
12.07		-0.0260682
12.08		-0.0260981
12.09		-0.026128
12.1		-0.0261579
12.11		-0.0261878
12.12		-0.0262177
12.13		-0.0262476
12.14		-0.0262775
12.15		-0.0263074
12.16		-0.0263373
12.17		-0.0263671
12.18		-0.026397
12.19		-0.0264269
12.2		-0.0264567
12.21		-0.0264866
12.22		-0.0265165
12.23		-0.0265463
12.24		-0.0265761
12.25		-0.026606
12.26		-0.0266358
12.27		-0.0266656
12.28		-0.0266955
12.29		-0.0267253
12.3		-0.0267551
12.31		-0.0267849
12.32		-0.0268147
12.33		-0.0268445
12.34		-0.0268743
12.35		-0.0269041
12.36		-0.0269339
12.37		-0.0269637
12.38		-0.0269934
12.39		-0.0270232
12.4		-0.027053
12.41		-0.0270827
12.42		-0.0271125
12.43		-0.0271422
12.44		-0.027172
12.45		-0.0272017
12.46		-0.0272314
12.47		-0.0272612
12.48		-0.0272909
12.49		-0.0273206
12.5		-0.0273503
12.51		-0.02738
12.52		-0.0274097
12.53		-0.0274394
12.54		-0.0274691
12.55		-0.0274988
12.56		-0.0275285
12.57		-0.0275582
12.58		-0.0275879
12.59		-0.0276175
12.6		-0.0276472
12.61		-0.0276768
12.62		-0.0277065
12.63		-0.0277361
12.64		-0.0277658
12.65		-0.0277954
12.66		-0.027825
12.67		-0.0278547
12.68		-0.0278843
12.69		-0.0279139
12.7		-0.0279435
12.71		-0.0279731
12.72		-0.0280027
12.73		-0.0280323
12.74		-0.0280619
12.75		-0.0280915
12.76		-0.028121
12.77		-0.0281506
12.78		-0.0281802
12.79		-0.0282097
12.8		-0.0282393
12.81		-0.0282688
12.82		-0.0282984
12.83		-0.0283279
12.84		-0.0283575
12.85		-0.028387
12.86		-0.0284165
12.87		-0.028446
12.88		-0.0284755
12.89		-0.028505
12.9		-0.0285345
12.91		-0.028564
12.92		-0.0285935
12.93		-0.028623
12.94		-0.0286525
12.95		-0.028682
12.96		-0.0287114
12.97		-0.0287409
12.98		-0.0287704
12.99		-0.0287998
13		-0.0288292
