tau [fm]		R_PiNS^-1
68.95		-0.00790757
69.05		-0.00787248
69.15		-0.00783773
69.25		-0.00780332
69.35		-0.00776924
69.45		-0.00773549
69.55		-0.00770206
69.65		-0.00766895
69.75		-0.00763616
69.85		-0.00760368
69.95		-0.0075715
70.05		-0.00753963
70.15		-0.00750807
70.25		-0.00747679
70.35		-0.00744581
70.45		-0.00741513
70.55		-0.00738472
70.65		-0.0073546
70.75		-0.00732476
70.85		-0.0072952
70.95		-0.0072659
71.05		-0.00723688
71.15		-0.00720813
71.25		-0.00717963
71.35		-0.0071514
71.45		-0.00712342
71.55		-0.0070957
71.65		-0.00706823
71.75		-0.00704101
71.85		-0.00701403
71.95		-0.00698729
72.05		-0.00696079
72.15		-0.00693453
72.25		-0.0069085
72.35		-0.00688271
72.45		-0.00685714
72.55		-0.0068318
72.65		-0.00680668
72.75		-0.00678178
72.85		-0.0067571
72.95		-0.00673263
73.05		-0.00670838
73.15		-0.00668433
73.25		-0.0066605
73.35		-0.00663687
73.45		-0.00661344
73.55		-0.00659022
73.65		-0.00656719
73.75		-0.00654436
73.85		-0.00652173
73.95		-0.00649928
74.05		-0.00647703
74.15		-0.00645496
74.25		-0.00643308
74.35		-0.00641138
74.45		-0.00638987
74.55		-0.00636853
74.65		-0.00634737
74.75		-0.00632639
74.85		-0.00630558
74.95		-0.00628494
75.05		-0.00626447
75.15		-0.00624416
75.25		-0.00622403
75.35		-0.00620406
75.45		-0.00618425
75.55		-0.0061646
75.65		-0.0061451
75.75		-0.00612577
75.85		-0.00610659
75.95		-0.00608756
76.05		-0.00606869
76.15		-0.00604997
76.25		-0.00603139
76.35		-0.00601296
76.45		-0.00599468
76.55		-0.00597654
76.65		-0.00595854
76.75		-0.00594068
76.85		-0.00592297
76.95		-0.00590539
77.05		-0.00588794
77.15		-0.00587063
77.25		-0.00585346
77.35		-0.00583641
77.45		-0.0058195
77.55		-0.00580272
77.65		-0.00578606
77.75		-0.00576953
77.85		-0.00575312
77.95		-0.00573684
78.05		-0.00572068
78.15		-0.00570464
78.25		-0.00568872
78.35		-0.00567292
78.45		-0.00565724
78.55		-0.00564167
78.65		-0.00562622
78.75		-0.00561088
78.85		-0.00559566
78.95		-0.00558054
79.05		-0.00556554
79.15		-0.00555064
79.25		-0.00553586
79.35		-0.00552117
79.45		-0.0055066
79.55		-0.00549213
79.65		-0.00547776
79.75		-0.0054635
79.85		-0.00544934
79.95		-0.00543528
80.05		-0.00542131
80.15		-0.00540745
80.25		-0.00539368
80.35		-0.00538001
80.45		-0.00536644
80.55		-0.00535296
80.65		-0.00533957
80.75		-0.00532627
80.85		-0.00531307
80.95		-0.00529996
81.05		-0.00528694
81.15		-0.00527401
81.25		-0.00526116
81.35		-0.0052484
81.45		-0.00523573
81.55		-0.00522315
81.65		-0.00521065
81.75		-0.00519823
81.85		-0.00518589
81.95		-0.00517364
82.05		-0.00516147
82.15		-0.00514938
82.25		-0.00513737
82.35		-0.00512544
82.45		-0.00511359
82.55		-0.00510181
82.65		-0.00509011
82.75		-0.00507849
82.85		-0.00506694
82.95		-0.00505547
83.05		-0.00504407
83.15		-0.00503275
83.25		-0.00502149
83.35		-0.00501031
83.45		-0.0049992
83.55		-0.00498816
83.65		-0.00497719
83.75		-0.00496629
83.85		-0.00495546
83.95		-0.00494469
84.05		-0.00493399
84.15		-0.00492336
84.25		-0.0049128
84.35		-0.00490229
84.45		-0.00489186
84.55		-0.00488149
84.65		-0.00487118
