tau [fm]		R_piNS^-1
74.05		0.0168688
74.15		0.016846
74.25		0.0168234
74.35		0.0168008
74.45		0.0167782
74.55		0.0167557
74.65		0.0167333
74.75		0.016711
74.85		0.0166887
74.95		0.0166665
75.05		0.0166443
75.15		0.0166222
75.25		0.0166001
75.35		0.0165781
75.45		0.0165562
75.55		0.0165344
75.65		0.0165125
75.75		0.0164908
75.85		0.0164691
75.95		0.0164475
76.05		0.0164259
76.15		0.0164044
76.25		0.0163829
76.35		0.0163615
76.45		0.0163402
76.55		0.0163189
76.65		0.0162977
76.75		0.0162765
76.85		0.0162554
76.95		0.0162344
77.05		0.0162134
77.15		0.0161924
77.25		0.0161716
77.35		0.0161507
77.45		0.01613
77.55		0.0161092
77.65		0.0160886
77.75		0.016068
77.85		0.0160474
77.95		0.0160269
78.05		0.0160065
78.15		0.0159861
78.25		0.0159658
78.35		0.0159455
78.45		0.0159253
78.55		0.0159051
78.65		0.015885
78.75		0.0158649
78.85		0.0158449
78.95		0.0158249
79.05		0.015805
79.15		0.0157851
79.25		0.0157653
79.35		0.0157456
79.45		0.0157259
79.55		0.0157062
79.65		0.0156866
79.75		0.0156671
79.85		0.0156476
79.95		0.0156281
80.05		0.0156087
80.15		0.0155894
80.25		0.0155701
80.35		0.0155508
80.45		0.0155316
80.55		0.0155125
80.65		0.0154934
80.75		0.0154743
80.85		0.0154553
80.95		0.0154363
81.05		0.0154174
81.15		0.0153986
81.25		0.0153798
81.35		0.015361
81.45		0.0153423
81.55		0.0153236
81.65		0.015305
81.75		0.0152864
81.85		0.0152679
81.95		0.0152494
82.05		0.015231
82.15		0.0152126
82.25		0.0151942
82.35		0.0151759
82.45		0.0151577
82.55		0.0151395
82.65		0.0151213
82.75		0.0151032
82.85		0.0150851
82.95		0.0150671
83.05		0.0150491
83.15		0.0150312
83.25		0.0150133
83.35		0.0149954
83.45		0.0149776
83.55		0.0149599
83.65		0.0149422
83.75		0.0149245
83.85		0.0149069
83.95		0.0148893
84.05		0.0148717
84.15		0.0148542
84.25		0.0148368
84.35		0.0148194
84.45		0.014802
84.55		0.0147847
84.65		0.0147674
84.75		0.0147501
84.85		0.0147329
84.95		0.0147158
85.05		0.0146987
85.15		0.0146816
85.25		0.0146646
85.35		0.0146476
85.45		0.0146306
85.55		0.0146137
85.65		0.0145968
85.75		0.01458
85.85		0.0145632
85.95		0.0145464
86.05		0.0145297
86.15		0.0145131
86.25		0.0144964
86.35		0.0144798
86.45		0.0144633
86.55		0.0144468
86.65		0.0144303
86.75		0.0144139
86.85		0.0143975
86.95		0.0143811
87.05		0.0143648
87.15		0.0143485
87.25		0.0143323
87.35		0.0143161
87.45		0.0142999
87.55		0.0142838
87.65		0.0142677
87.75		0.0142516
87.85		0.0142356
87.95		0.0142196
88.05		0.0142037
88.15		0.0141878
88.25		0.0141719
88.35		0.0141561
88.45		0.0141403
88.55		0.0141246
88.65		0.0141089
88.75		0.0140932
88.85		0.0140775
88.95		0.0140619
89.05		0.0140463
89.15		0.0140308
89.25		0.0140153
89.35		0.0139998
89.45		0.0139844
89.55		0.013969
89.65		0.0139537
89.75		0.0139383
89.85		0.013923
89.95		0.0139078
90.05		0.0138926
90.15		0.0138774
90.25		0.0138622
90.35		0.0138471
90.45		0.013832
90.55		0.013817
90.65		0.013802
90.75		0.013787
90.85		0.013772
90.95		0.0137571
91.05		0.0137423
91.15		0.0137274
91.25		0.0137126
91.35		0.0136978
91.45		0.0136831
91.55		0.0136684
91.65		0.0136537
91.75		0.013639
91.85		0.0136244
91.95		0.0136098
