tau [fm]		R_PiNS^-1
72.45		-0.0056866
72.55		-0.00567268
72.65		-0.00565885
72.75		-0.00564511
72.85		-0.00563148
72.95		-0.00561794
73.05		-0.00560449
73.15		-0.00559114
73.25		-0.00557788
73.35		-0.00556471
73.45		-0.00555163
73.55		-0.00553864
73.65		-0.00552574
73.75		-0.00551293
73.85		-0.0055002
73.95		-0.00548756
74.05		-0.00547501
74.15		-0.00546253
74.25		-0.00545015
74.35		-0.00543784
74.45		-0.00542562
74.55		-0.00541347
74.65		-0.00540141
74.75		-0.00538942
74.85		-0.00537752
74.95		-0.00536569
75.05		-0.00535393
75.15		-0.00534225
75.25		-0.00533065
75.35		-0.00531912
75.45		-0.00530767
75.55		-0.00529629
75.65		-0.00528498
75.75		-0.00527374
75.85		-0.00526257
75.95		-0.00525147
76.05		-0.00524044
76.15		-0.00522948
76.25		-0.00521858
76.35		-0.00520776
76.45		-0.005197
76.55		-0.0051863
76.65		-0.00517567
76.75		-0.00516511
76.85		-0.00515461
76.95		-0.00514417
77.05		-0.0051338
77.15		-0.00512348
77.25		-0.00511323
77.35		-0.00510304
77.45		-0.00509291
77.55		-0.00508284
77.65		-0.00507283
77.75		-0.00506287
77.85		-0.00505298
77.95		-0.00504314
78.05		-0.00503336
78.15		-0.00502363
78.25		-0.00501396
78.35		-0.00500435
78.45		-0.00499479
78.55		-0.00498528
78.65		-0.00497583
78.75		-0.00496643
78.85		-0.00495709
78.95		-0.00494779
79.05		-0.00493855
79.15		-0.00492936
79.25		-0.00492022
79.35		-0.00491113
79.45		-0.00490209
79.55		-0.0048931
79.65		-0.00488416
79.75		-0.00487526
79.85		-0.00486642
79.95		-0.00485762
80.05		-0.00484887
80.15		-0.00484017
80.25		-0.00483151
80.35		-0.0048229
80.45		-0.00481433
80.55		-0.00480581
80.65		-0.00479733
80.75		-0.0047889
80.85		-0.00478051
80.95		-0.00477217
81.05		-0.00476387
81.15		-0.00475561
81.25		-0.00474739
81.35		-0.00473921
81.45		-0.00473108
81.55		-0.00472299
81.65		-0.00471494
81.75		-0.00470693
81.85		-0.00469896
81.95		-0.00469102
82.05		-0.00468313
82.15		-0.00467528
82.25		-0.00466747
82.35		-0.00465969
82.45		-0.00465195
82.55		-0.00464426
82.65		-0.00463659
82.75		-0.00462897
82.85		-0.00462138
82.95		-0.00461383
83.05		-0.00460632
83.15		-0.00459884
83.25		-0.00459139
83.35		-0.00458398
83.45		-0.00457661
83.55		-0.00456927
83.65		-0.00456197
83.75		-0.0045547
83.85		-0.00454746
83.95		-0.00454026
84.05		-0.00453309
84.15		-0.00452596
84.25		-0.00451885
84.35		-0.00451178
84.45		-0.00450474
84.55		-0.00449774
84.65		-0.00449076
84.75		-0.00448382
84.85		-0.00447691
84.95		-0.00447003
85.05		-0.00446318
85.15		-0.00445636
85.25		-0.00444957
85.35		-0.00444281
85.45		-0.00443608
85.55		-0.00442938
85.65		-0.00442271
85.75		-0.00441606
85.85		-0.00440945
85.95		-0.00440287
86.05		-0.00439631
86.15		-0.00438978
86.25		-0.00438328
86.35		-0.00437681
86.45		-0.00437036
86.55		-0.00436395
86.65		-0.00435756
86.75		-0.00435119
86.85		-0.00434486
86.95		-0.00433855
87.05		-0.00433226
87.15		-0.004326
87.25		-0.00431977
87.35		-0.00431356
87.45		-0.00430738
87.55		-0.00430123
87.65		-0.0042951
87.75		-0.00428899
87.85		-0.00428291
87.95		-0.00427685
88.05		-0.00427082
88.15		-0.00426481
88.25		-0.00425883
88.35		-0.00425287
88.45		-0.00424693
88.55		-0.00424102
88.65		-0.00423513
88.75		-0.00422927
88.85		-0.00422342
88.95		-0.0042176
89.05		-0.00421181
89.15		-0.00420604
89.25		-0.00420027
89.35		-0.00419454
89.45		-0.00418883
89.55		-0.00418315
89.65		-0.00417748
89.75		-0.00417184
89.85		-0.00416622
89.95		-0.00416061
90.05		-0.00415503
90.15		-0.00414948
90.25		-0.00414394
90.35		-0.00413842
90.45		-0.00413292
90.55		-0.00412745
90.65		-0.00412199
90.75		-0.00411655
90.85		-0.00411114
90.95		-0.00410574
91.05		-0.00410036
91.15		-0.00409501
91.25		-0.00408967
91.35		-0.00408435
91.45		-0.00407905
91.55		-0.00407377
91.65		-0.00406851
91.75		-0.00406326
91.85		-0.00405804
91.95		-0.00405283
92.05		-0.00404765
92.15		-0.00404248
92.25		-0.00403733
92.35		-0.00403219
92.45		-0.00402708
92.55		-0.00402198
92.65		-0.0040169
